                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98492,                 3.5582,                 1.5253,                0.39439,                0.60668,                  0.384,                0.28969,                0.84667,                 2.0288,                 1.6859,             9.2458e-05,             9.2458e-05,             9.2458e-05
                      2,                0.83924,                 2.1596,                 1.3544,                0.57656,                0.76315,                0.74353,                0.59296,                 0.7769,                 1.4932,                 1.5749,             0.00017779,             0.00017779,             0.00017779
                      3,                0.80724,                 1.5904,                 1.3194,                0.78256,                0.83456,                0.78271,                0.63387,                0.75826,                 1.0197,                 1.5397,             0.00025579,             0.00025579,             0.00025579
                      4,                0.77979,                  1.339,                  1.295,                0.70922,                0.84885,                0.80953,                0.65712,                0.75231,                0.97424,                 1.5332,             0.00024497,             0.00024497,             0.00024497
                      5,                0.76995,                 1.2087,                 1.2847,                0.83097,                0.85569,                0.86223,                0.70115,                0.73715,                0.84892,                 1.5001,             0.00024497,             0.00024497,             0.00024497
                      6,                0.75007,                 1.0967,                 1.2671,                0.84229,                0.83349,                0.88005,                0.71963,                 0.7305,                0.82118,                  1.481,             0.00023396,             0.00023396,             0.00023396
                      7,                 0.7473,                 1.0264,                 1.2604,                 0.8482,                0.85835,                0.88673,                 0.7268,                0.74244,                0.77888,                 1.5068,             0.00022296,             0.00022296,             0.00022296
                      8,                0.74098,                0.96043,                 1.2608,                0.86841,                0.87268,                0.90394,                0.74061,                0.74587,                0.77187,                 1.4962,             0.00021195,             0.00021195,             0.00021195
                      9,                0.72899,                0.91297,                 1.2506,                0.88164,                 0.8561,                0.90321,                0.74801,                0.70484,                0.73989,                 1.4526,             0.00020094,             0.00020094,             0.00020094
                     10,                0.72213,                0.85656,                 1.2446,                0.88919,                0.88042,                0.90908,                0.74666,                0.73359,                0.68669,                  1.482,             0.00018993,             0.00018993,             0.00018993
                     11,                0.72128,                0.81688,                 1.2412,                0.90601,                0.87618,                0.90275,                0.75345,                0.70175,                0.66446,                 1.4418,             0.00017892,             0.00017892,             0.00017892
                     12,                0.71485,                0.79017,                 1.2361,                 0.8854,                0.91843,                0.92353,                0.77361,                0.68933,                0.63598,                 1.4269,             0.00016791,             0.00016791,             0.00016791
